iter	Passed	Remaining
510	585	560
511	586	559
512	587	558
513	588	556
514	590	555
515	591	554
516	592	553
517	593	552
518	594	551
519	596	550
520	597	549
521	598	547
522	599	546
523	600	545
524	601	544
525	603	543
526	604	542
527	605	541
528	606	540
529	607	539
530	609	538
531	610	536
532	611	535
533	612	534
534	613	533
535	614	532
536	616	531
537	617	530
538	618	528
539	619	527
540	620	526
541	621	525
542	623	524
543	624	523
544	625	521
545	626	520
546	627	519
547	628	518
548	629	517
549	630	516
550	631	514
551	633	513
552	634	512
553	635	511
554	636	510
555	637	509
556	638	508
557	639	506
558	640	505
559	641	504
560	643	503
561	644	502
562	645	501
563	646	499
564	647	498
565	648	497
566	650	496
567	651	495
568	652	494
569	653	492
570	654	491
571	655	490
572	656	489
573	658	488
574	659	487
575	660	486
576	661	484
577	662	483
578	663	482
579	664	481
580	666	480
581	667	479
582	668	478
583	669	477
584	670	475
585	671	474
586	673	473
587	674	472
588	675	471
589	676	470
590	677	468
591	678	467
592	679	466
593	680	465
594	681	464
595	682	462
596	684	461
597	685	460
598	686	459
599	687	458
600	688	457
601	689	456
602	690	454
603	692	453
604	693	452
605	694	451
606	695	450
607	696	449
608	697	447
609	698	446
610	699	445
611	701	444
612	702	443
613	703	442
614	704	440
615	705	439
616	706	438
617	708	437
618	709	436
619	710	435
620	711	434
621	712	432
622	713	431
623	714	430
624	715	429
625	716	428
626	717	427
627	719	425
628	720	424
629	721	423
630	722	422
631	723	421
632	724	420
633	726	419
634	727	417
635	728	416
636	729	415
637	730	414
638	731	413
639	732	411
640	733	410
641	734	409
642	735	408
643	736	407
644	738	406
645	739	405
646	740	403
647	741	402
648	742	401
649	743	400
650	745	399
651	746	398
652	747	397
653	748	396
654	749	394
655	750	393
656	751	392
657	752	391
658	754	390
659	755	389
660	756	387
661	757	386
662	759	385
663	760	384
664	761	383
665	762	382
666	763	381
667	764	380
668	765	378
669	767	377
670	768	376
671	769	375
672	770	374
673	771	373
674	772	372
675	773	370
676	775	369
677	776	368
678	777	367
679	778	366
680	779	365
681	780	364
682	782	363
683	783	361
684	784	360
685	785	359
686	786	358
687	788	357
688	789	356
689	790	355
690	791	353
691	792	352
692	793	351
693	794	350
694	796	349
695	797	348
696	798	347
697	799	346
698	800	344
699	801	343
700	803	342
701	804	341
702	805	340
703	806	339
704	807	338
705	808	336
706	810	335
707	811	334
708	812	333
709	813	332
710	814	331
711	815	329
712	816	328
713	817	327
714	819	326
715	820	325
716	821	324
717	822	323
718	823	321
719	824	320
720	825	319
721	826	318
722	827	317
723	828	315
724	830	314
725	831	313
726	832	312
727	833	311
728	834	310
729	835	309
730	836	307
731	838	306
732	839	305
733	840	304
734	841	303
735	842	302
736	843	301
737	844	299
738	846	298
739	847	297
740	848	296
741	849	295
742	850	294
743	851	293
744	852	291
745	853	290
746	854	289
747	856	288
748	857	287
749	858	286
750	859	285
751	860	283
752	861	282
753	863	281
754	864	280
755	865	279
756	866	278
757	867	276
758	868	275
759	869	274
760	871	273
761	872	272
762	873	271
763	874	270
764	875	268
765	876	267
766	877	266
767	878	265
768	880	264
769	881	263
770	882	262
771	883	260
772	884	259
773	885	258
774	887	257
775	888	256
776	889	255
777	890	254
778	891	252
779	892	251
780	894	250
781	895	249
782	896	248
783	897	247
784	898	246
785	900	245
786	901	243
787	902	242
788	903	241
789	904	240
790	905	239
791	906	238
792	907	237
793	908	235
794	910	234
795	911	233
796	912	232
797	913	231
798	914	230
799	915	228
800	917	227
801	918	226
802	919	225
803	920	224
804	921	223
805	922	222
806	923	220
807	925	219
808	926	218
809	927	217
810	928	216
811	929	215
812	930	214
813	931	212
814	932	211
815	934	210
816	935	209
817	936	208
818	937	207
819	938	206
820	939	204
821	940	203
822	941	202
823	943	201
824	944	200
825	945	199
826	946	198
827	947	196
828	948	195
829	950	194
830	951	193
831	952	192
832	953	191
833	954	189
834	955	188
835	956	187
836	957	186
837	959	185
838	960	184
839	961	183
840	962	181
841	963	180
842	964	179
843	965	178
844	966	177
845	967	176
846	968	175
847	970	173
848	971	172
849	972	171
850	973	170
851	974	169
852	975	168
853	976	167
854	978	165
855	979	164
856	980	163
857	981	162
858	982	161
859	983	160
860	984	159
861	986	157
862	987	156
863	988	155
864	989	154
865	990	153
866	991	152
867	992	150
868	994	149
869	995	148
870	996	147
871	997	146
872	998	145
873	999	144
874	1001	143
875	1002	141
876	1003	140
877	1004	139
878	1005	138
879	1006	137
880	1007	136
881	1009	135
882	1010	133
883	1011	132
884	1012	131
885	1013	130
886	1014	129
887	1015	128
888	1016	126
889	1018	125
890	1019	124
891	1020	123
892	1021	122
893	1022	121
894	1023	120
895	1025	118
896	1026	117
897	1027	116
898	1028	115
899	1029	114
900	1030	113
901	1031	112
902	1033	110
903	1034	109
904	1035	108
905	1036	107
906	1037	106
907	1038	105
908	1039	104
909	1040	102
910	1042	101
911	1043	100
912	1044	99
913	1045	98
914	1046	97
915	1047	96
916	1048	94
917	1050	93
918	1051	92
919	1052	91
920	1053	90
921	1054	89
922	1055	88
923	1057	86
924	1058	85
925	1059	84
926	1060	83
927	1061	82
928	1063	81
929	1064	80
930	1065	78
931	1066	77
932	1067	76
933	1068	75
934	1069	74
935	1070	73
936	1071	72
937	1073	70
938	1074	69
939	1075	68
940	1076	67
941	1077	66
942	1078	65
943	1079	64
944	1081	62
945	1082	61
946	1083	60
947	1084	59
948	1085	58
949	1086	57
950	1087	56
951	1088	54
952	1090	53
953	1091	52
954	1092	51
955	1093	50
956	1094	49
957	1095	48
958	1096	46
959	1097	45
960	1098	44
961	1100	43
962	1101	42
963	1102	41
964	1103	40
965	1104	38
966	1105	37
967	1106	36
968	1108	35
969	1109	34
970	1110	33
971	1111	32
972	1112	30
973	1114	29
974	1115	28
975	1116	27
976	1117	26
977	1118	25
978	1119	24
979	1120	22
980	1122	21
981	1123	20
982	1124	19
983	1125	18
984	1126	17
985	1127	16
986	1128	14
987	1130	13
988	1131	12
989	1132	11
990	1133	10
991	1134	9
992	1135	8
993	1136	6
994	1137	5
995	1139	4
996	1140	3
997	1141	2
998	1142	1
999	1143	0
