iter	TotalF1:average=Macro	MultiClass
181	0.8823837264	0.3777536679
182	0.8839466821	0.376607227
183	0.8823345228	0.3754252279
184	0.8832893	0.3741045691
185	0.8841052934	0.3733190367
186	0.8856709048	0.3725324986
187	0.8860816505	0.3711483766
188	0.8867412523	0.3701767482
189	0.888107261	0.3684480203
190	0.8903781537	0.3670289386
191	0.8908656265	0.365968991
192	0.8915711948	0.3651834196
193	0.8932435943	0.3635933939
194	0.8949002525	0.3620767783
195	0.8963848984	0.3612182131
196	0.8952004435	0.3606319844
197	0.8944949254	0.3595822654
198	0.8952004435	0.3587196916
199	0.8952004435	0.3581679525
200	0.8962672711	0.3575378416
201	0.8956045219	0.3569654796
202	0.8956045219	0.3558565469
203	0.8937555921	0.3552107689
204	0.8941203014	0.354017267
205	0.8948232272	0.3533737129
206	0.8955254662	0.352251167
207	0.8974143633	0.3512819562
208	0.8953483692	0.3502264125
209	0.9005805684	0.3492011086
210	0.9012437078	0.3485478301
211	0.9013603785	0.3472636898
212	0.9027208584	0.346011133
213	0.9037811521	0.3450347211
214	0.9048384311	0.3438841317
215	0.9041738586	0.34272895
216	0.9050893574	0.3422994311
217	0.907550859	0.3412974642
218	0.910189804	0.3399011781
219	0.9079823884	0.3384553723
220	0.9087778506	0.3376834902
221	0.9116703383	0.3370061663
222	0.9120479987	0.3364795594
223	0.9132106718	0.3352823204
224	0.9132106718	0.3339328621
225	0.9142955586	0.3332899013
226	0.9142955586	0.3330320155
227	0.9149986355	0.3324926958
228	0.9156629122	0.3318709619
229	0.9156629122	0.3315448124
230	0.9163654314	0.3307806907
231	0.9163654314	0.3303002044
232	0.9166878675	0.3297567475
233	0.9181020564	0.3286087409
234	0.919018141	0.3278591657
235	0.9196828535	0.3263835242
236	0.9218091783	0.3249733686
237	0.9247842349	0.3238034081
238	0.9254850284	0.3233816422
239	0.9247842349	0.3228837666
240	0.9248182179	0.3221037819
241	0.9236303355	0.3212922872
242	0.9248182179	0.320272175
243	0.9269852821	0.3194328573
244	0.9244062127	0.3183247073
245	0.9254850284	0.3176207117
246	0.926636638	0.3167967468
247	0.9273048239	0.3155698158
248	0.9273048239	0.3147393279
249	0.9254850284	0.3136642277
250	0.9273048239	0.3131849077
251	0.9282354229	0.3115595107
252	0.9292673083	0.310742661
253	0.9292673083	0.3103785019
254	0.9296508511	0.3097173281
255	0.9296508511	0.3093740512
256	0.9285010438	0.3085684331
257	0.9285010438	0.3079561092
258	0.9303511931	0.306822761
259	0.9303511931	0.3063769563
260	0.9303511931	0.3058671906
261	0.9314987385	0.3053704379
262	0.9328375909	0.304458902
263	0.9328375909	0.3037927937
264	0.9328375909	0.3031190835
265	0.9321679333	0.3025435625
266	0.9321679333	0.302181996
267	0.9337727849	0.3012922369
268	0.933803484	0.3004231509
269	0.933803484	0.2994997337
270	0.933803484	0.2987830489
271	0.933803484	0.2982094566
272	0.933803484	0.297621318
273	0.9354102567	0.296237039
274	0.936557928	0.2953739693
275	0.9377033019	0.2944679487
276	0.9384027834	0.2938763892
277	0.9394927799	0.292829312
278	0.9385520198	0.2924275677
279	0.9385253324	0.2914478263
280	0.9392803945	0.290891756
281	0.9392803945	0.290179953
282	0.9399535435	0.2896107268
283	0.9399535435	0.2891493825
284	0.9392803945	0.2882834536
285	0.9408908224	0.2873388845
286	0.9436725739	0.2862207139
287	0.9447405979	0.2856328145
288	0.9435963291	0.2850939877
289	0.943406976	0.2843169068
290	0.9423890694	0.2837584824
291	0.943820759	0.2826120809
292	0.9446770896	0.2819077149
293	0.9440023791	0.281388538
294	0.9450205365	0.2805446805
295	0.9468390363	0.2797224534
296	0.9475152425	0.2786887251
297	0.9484556817	0.2783441701
298	0.9477799403	0.2778698372
299	0.9477799403	0.2771344109
300	0.9491319369	0.2763076481
301	0.9484556817	0.2754428491
302	0.9484556817	0.2744258618
303	0.9484556817	0.2739997659
304	0.9484556817	0.2732630324
305	0.9484556817	0.272161169
306	0.9508437958	0.2715992276
307	0.9515425098	0.2711519941
308	0.9515425098	0.2703619592
309	0.9515425098	0.2698481451
310	0.9515425098	0.269393438
311	0.9515425098	0.2687858908
312	0.9508437958	0.2683469891
313	0.9508437958	0.2677553073
314	0.9526831868	0.266873224
315	0.9515425098	0.265807952
316	0.952553147	0.2652174482
317	0.9525308709	0.2640469291
318	0.9536693464	0.2630878472
319	0.9536693464	0.2626272547
320	0.9536693464	0.2620250298
321	0.9536693464	0.2616766872
322	0.9548056938	0.2607059303
323	0.9548056938	0.2601366967
324	0.9548056938	0.2590844255
325	0.9548056938	0.2586512829
326	0.9548056938	0.257801836
327	0.9548056938	0.2570211028
328	0.9554850648	0.2563408807
329	0.9548056938	0.2560026154
330	0.9554850648	0.2550489421
331	0.9572788651	0.2539706186
332	0.9565805795	0.2532661244
333	0.9565993879	0.2527914342
334	0.9575447765	0.2519916628
335	0.9565993879	0.251456828
336	0.9565993879	0.2508439607
337	0.9565993879	0.2502392477
338	0.9565993879	0.2493309127
339	0.9575447765	0.2484076773
340	0.9565993879	0.2479664485
341	0.9565993879	0.2475754814
342	0.9572969692	0.246689285
343	0.9593770645	0.2457842099
344	0.9593770645	0.2452861188
345	0.9593770645	0.2444018883
346	0.9593770645	0.2439037537
347	0.9593770645	0.2436940948
348	0.9593770645	0.243234965
349	0.9593770645	0.242690814
350	0.9600740622	0.2422426619
351	0.9611709935	0.2418109585
352	0.9621709839	0.2412376373
353	0.963801557	0.24074847
354	0.9628511552	0.240294315
355	0.9624254732	0.2395062538
356	0.9642359523	0.2392520782
357	0.9649324176	0.2385644769
358	0.9649324176	0.2381707481
359	0.963801557	0.2377727668
360	0.9649324176	0.2369885903
361	0.9670526	0.2361805481
362	0.9670526	0.2357686088
363	0.968041401	0.2351687252
364	0.9669409275	0.2345922217
365	0.967927056	0.234063026
366	0.9688776116	0.2336884358
367	0.9688776116	0.2332113573
368	0.9706781779	0.2327934025
369	0.9699809846	0.2322644862
370	0.9697248145	0.2317437504
371	0.9704213693	0.2308712051
372	0.971539156	0.2302704852
373	0.9724926203	0.2294665275
374	0.9734743062	0.2291505422
375	0.9734743062	0.2285669973
376	0.9734743062	0.2280097344
377	0.9745872478	0.2272875887
378	0.9745872478	0.2268907812
379	0.9745872478	0.2262131891
380	0.9752836955	0.2255872836
381	0.9762396764	0.2251901213
382	0.9752836955	0.2245671302
383	0.9752836955	0.224372434
384	0.9752836955	0.2238087012
385	0.9762396764	0.2234972094
386	0.9752836955	0.2228467205
387	0.9769355133	0.2223428466
388	0.9780466429	0.2215285258
389	0.9780466429	0.2211361099
390	0.9763947312	0.2207526992
391	0.9770905875	0.220229918
392	0.9763947312	0.2194564793
393	0.9781918366	0.2189868202
394	0.9805203801	0.218138604
395	0.9805203801	0.2177102863
396	0.9788768629	0.2169421347
397	0.9788768629	0.2164787121
398	0.9809455628	0.2158865379
399	0.9806736926	0.215235977
400	0.9816316894	0.2149705965
401	0.980527503	0.2144164703
402	0.980527503	0.214028416
403	0.980527503	0.2136190595
404	0.980527503	0.2133018817
405	0.980527503	0.2128717049
406	0.980527503	0.2123084217
407	0.980527503	0.2117158675
408	0.980527503	0.2113238214
409	0.980527503	0.2108747554
410	0.980527503	0.2100899064
411	0.980527503	0.2098464222
412	0.9819013911	0.2093107996
413	0.9819095332	0.2088546306
414	0.9819095332	0.2084406461
415	0.9825967871	0.2081218835
416	0.9836999527	0.2074261443
417	0.9836999527	0.2071026319
418	0.9836999527	0.2064962773
419	0.9843936691	0.2062196559
420	0.9836999527	0.2057257589
421	0.9836999527	0.2054340199
422	0.9836999527	0.2050848983
423	0.9836999527	0.2046929008
424	0.9836999527	0.2043517508
425	0.9854927366	0.2040033356
426	0.9861854189	0.2033130222
427	0.9854927366	0.2027185182
428	0.9854927366	0.202387127
429	0.9854927366	0.2022125478
430	0.9848048803	0.2016071789
431	0.9857767949	0.2012139904
432	0.9857767949	0.2006544108
433	0.9848048803	0.2002083067
434	0.9848048803	0.1999331661
435	0.9854927366	0.1993820636
436	0.9861854189	0.1988408634
437	0.9848048803	0.1985468158
438	0.9854927366	0.1982012369
439	0.9854927366	0.1978661176
440	0.9854927366	0.1974495156
441	0.9864646575	0.1971793695
442	0.9871577848	0.1967521495
443	0.9871577848	0.1964427682
444	0.9881276913	0.1962413299
445	0.9881276913	0.195804724
446	0.9881276913	0.1955180792
447	0.9881276913	0.1950501299
448	0.9881276913	0.1945851076
449	0.9881276913	0.1942107588
450	0.9890951577	0.1938873052
451	0.9888161482	0.1933528907
452	0.9888161482	0.1928346717
453	0.9897836195	0.1925006061
454	0.9897836195	0.1920398658
455	0.9897836195	0.191621734
456	0.9897836195	0.191071822
457	0.9888161482	0.190777309
458	0.9888161482	0.1904326703
459	0.9897836195	0.1900742537
460	0.9888161482	0.1895965552
461	0.9897836195	0.1892996103
462	0.9897836195	0.1886882259
463	0.9897836195	0.1883546844
464	0.9897836195	0.1880496532
465	0.9907486692	0.1878367042
466	0.9907486692	0.187237377
467	0.9907486692	0.1870464464
468	0.9907486692	0.1865733925
469	0.9907486692	0.1861757144
470	0.9907486692	0.1855862915
471	0.9914377069	0.1853517627
472	0.9914377069	0.1850901325
473	0.9914377069	0.1844643646
474	0.9914377069	0.184317322
475	0.9914377069	0.1839512904
476	0.9914377069	0.1835163142
477	0.9914377069	0.1828471605
478	0.9914377069	0.1824921698
479	0.9914377069	0.1822908569
480	0.9914377069	0.1817792835
481	0.9914377069	0.1813416667
482	0.9914377069	0.1809421288
483	0.9914377069	0.1805630231
484	0.9921316041	0.1799154079
485	0.9921316041	0.1796267677
486	0.9921316041	0.1791431092
487	0.9921316041	0.178719413
488	0.9921316041	0.1783533913
489	0.9921316041	0.178025133
490	0.9921316041	0.1777308407
491	0.9921316041	0.1774667821
492	0.9921316041	0.1767166752
493	0.9921316041	0.1763539287
494	0.9921316041	0.1758748162
495	0.9921316041	0.1755173955
496	0.9921316041	0.175205561
497	0.9921316041	0.1749699308
498	0.9921316041	0.1747601865
499	0.9921316041	0.1745394133
500	0.9921316041	0.1742198112
501	0.9932347339	0.1739024504
502	0.9932347339	0.1733345913
503	0.9932347339	0.1728415069
504	0.9932347339	0.1726372998
505	0.9932347339	0.1722336872
506	0.9932347339	0.1718629595
507	0.9932347339	0.1715804128
508	0.9932347339	0.1712719876
509	0.9932347339	0.1710507161
510	0.9932347339	0.1706156666
511	0.9932347339	0.170171687
512	0.9932347339	0.1696860804
513	0.9932347339	0.1694107448
514	0.9932347339	0.1689790128
515	0.9932347339	0.1686255052
516	0.9932347339	0.1683027871
517	0.9941958024	0.1680213254
518	0.9941958024	0.1677517744
519	0.9941958024	0.1673762263
520	0.9941958024	0.1670365192
521	0.9941958024	0.1668799777
522	0.9941958024	0.1665082977
523	0.9941958024	0.1661436136
524	0.9948860102	0.1657898807
525	0.9948860102	0.1654007453
526	0.9948860102	0.1652683168
527	0.9937818335	0.1650228467
528	0.9937818335	0.1646845645
529	0.9948860102	0.1642195291
530	0.9948860102	0.1635067949
531	0.9948860102	0.1632332811
532	0.9948860102	0.1631349055
